##############################################################################
#
#  Data for the enumerative problem
#  A1524 Y11 X2 A214 X11 V2  = 5 on Praxis
#
##############################################################################
FlagVariety:=[1, 2, 3, 4, 6]:
Label := "A1524 Y11 X2 A214 X11 V2 ":
EnumerativeProblem:=[ [1, 5, 2, 4, 3, 6] ,[1, 2, 4, 5, 3, 6]
                     ,[1, 2, 5, 3, 4, 6] ,[2, 1, 4, 3, 5, 6]
                     ,[1, 3, 4, 2, 5, 6] ,[3, 1, 2, 4, 5, 6]
                    ]:
NumberOfSolutions := 5:
Necklaces:=[ [1, 2, 3, 4, 5] ,[2, 4, 3, 1, 5]
            ,[1, 4, 2, 3, 5] ,[1, 3, 4, 2, 5]
            ,[5, 2, 1, 3, 4] ,[3, 1, 2, 4, 5]
            ,[1, 5, 2, 3, 4] ,[1, 2, 3, 5, 4]
            ,[1, 2, 4, 3, 5] ,[1, 2, 5, 3, 4]
            ,[1, 2, 4, 5, 3] ,[1, 2, 5, 4, 3]
            ,[1, 3, 2, 4, 5] ,[1, 3, 2, 5, 4]
            ,[1, 4, 2, 5, 3] ,[1, 5, 2, 4, 3]
            ,[1, 3, 5, 2, 4] ,[1, 4, 3, 2, 5]
            ,[1, 5, 3, 2, 4] ,[1, 4, 5, 2, 3]
            ,[1, 5, 4, 2, 3] ,[1, 3, 4, 5, 2]
            ,[1, 3, 5, 4, 2] ,[1, 4, 3, 5, 2]
            ,[1, 5, 3, 4, 2] ,[1, 5, 4, 3, 2]
            ,[2, 1, 3, 4, 5] ,[2, 1, 3, 5, 4]
            ,[2, 1, 4, 3, 5] ,[2, 1, 5, 3, 4]
            ,[2, 1, 4, 5, 3] ,[2, 1, 5, 4, 3]
            ,[3, 1, 2, 5, 4] ,[4, 1, 2, 3, 5]
            ,[4, 1, 2, 5, 3] ,[3, 1, 4, 2, 5]
            ,[3, 1, 5, 2, 4] ,[4, 1, 3, 2, 5]
            ,[4, 1, 5, 2, 3] ,[3, 1, 4, 5, 2]
            ,[3, 1, 5, 4, 2] ,[4, 1, 3, 5, 2]
            ,[4, 1, 5, 3, 2] ,[2, 3, 1, 4, 5]
            ,[2, 3, 1, 5, 4] ,[2, 4, 1, 3, 5]
            ,[2, 4, 1, 5, 3] ,[3, 2, 1, 4, 5]
            ,[3, 2, 1, 5, 4] ,[4, 2, 1, 3, 5]
            ,[4, 2, 1, 5, 3] ,[3, 4, 1, 2, 5]
            ,[4, 3, 1, 2, 5] ,[3, 4, 1, 5, 2]
            ,[4, 3, 1, 5, 2] ,[2, 3, 4, 1, 5]
            ,[3, 2, 4, 1, 5] ,[4, 2, 3, 1, 5]
            ,[3, 4, 2, 1, 5] ,[4, 3, 2, 1, 5]
           ]:
Points:=[[4, 41],[7, 40],[10, 40],[13, 39],[16, 38],[19, 36],[22, 35]
       ,[24, 33],[27, 31],[29, 29],[31, 26],[33, 24],[35, 21],[37, 19]
       ,[38, 16],[39, 13],[40, 10],[40, 7],[41, 4],[41, 1],[41, -3]
       ,[41, -6],[40, -9],[39, -12],[38, -15],[37, -18],[36, -21],[34, -23]
       ,[32, -26],[30, -28],[28, -30],[25, -32],[23, -34],[20, -36],[17, -37]
       ,[14, -38],[11, -39],[8, -40],[5, -41],[2, -41] ]:
PointSelection := "QuasiUniformPointsAss(40,41)":
Machine := "Praxis":
##############################################################################
Instance:=10000:
PreTime:=  13920.66:
GroebnerTime:= 270209.29:
RealTime:=  10210.90:
Table:=[[0,2795,7205]
       ,[0,609,9391]
       ,[0,1184,8816]
       ,[0,0,10000]
       ,[621,4723,4656]
       ,[61,4889,5050]
       ,[0,2409,7591]
       ,[0,0,10000]
       ,[0,0,10000]
       ,[0,0,10000]
       ,[0,0,10000]
       ,[0,2876,7124]
       ,[0,919,9081]
       ,[0,344,9656]
       ,[0,0,10000]
       ,[0,0,10000]
       ,[0,0,10000]
       ,[0,1024,8976]
       ,[0,0,10000]
       ,[54,2139,7807]
       ,[0,0,10000]
       ,[72,1407,8521]
       ,[620,3227,6153]
       ,[0,0,10000]
       ,[0,0,10000]
       ,[0,2814,7186]
       ,[0,2294,7706]
       ,[0,0,10000]
       ,[0,0,10000]
       ,[0,0,10000]
       ,[0,0,10000]
       ,[0,2788,7212]
       ,[557,4795,4648]
       ,[42,4029,5929]
       ,[0,0,10000]
       ,[0,0,10000]
       ,[0,0,10000]
       ,[1031,1887,7082]
       ,[553,4802,4645]
       ,[1068,1845,7087]
       ,[44,3966,5990]
       ,[0,0,10000]
       ,[68,4859,5073]
       ,[0,336,9664]
       ,[0,845,9155]
       ,[0,652,9348]
       ,[437,2807,6756]
       ,[60,2234,7706]
       ,[605,4619,4776]
       ,[462,1327,8211]
       ,[464,1448,8088]
       ,[0,1049,8951]
       ,[91,1388,8521]
       ,[0,0,10000]
       ,[0,0,10000]
       ,[0,0,10000]
       ,[0,0,10000]
       ,[476,2909,6615]
       ,[0,1119,8881]
       ,[655,3353,5992]]:
CoefficientHeight:=   55.0:
